,hebb,hebb,hebb,hebb,hebb_smooth_rate,hebb_smooth_rate,hebb_smooth_rate,hebb_smooth_rate,rate,rate,rate,rate,shuffle,shuffle,shuffle,shuffle
,entropy,nunique,mean_freq,mean_dur,entropy,nunique,mean_freq,mean_dur,entropy,nunique,mean_freq,mean_dur,entropy,nunique,mean_freq,mean_dur
800,552.8257124060732,741.0,8.258637428283691,22.600980758666992,444.9528278850879,695.0,8.28382396697998,23.436901092529297,82.2635889668854,327.0,9.301070213317871,21.80190086364746,434.7198496217782,529.0,8.433099746704102,22.515928268432617
1000,552.8150193382166,839.0,7.674849510192871,19.698755264282227,434.0128905770831,748.0,7.900068283081055,20.777795791625977,68.80860676151701,288.0,7.923609256744385,18.53158187866211,435.81714264559287,534.0,7.679721355438232,19.770919799804688
1200,485.414325837049,868.0,6.313992500305176,16.78913116455078,374.16098864591527,733.0,6.720726490020752,18.22970962524414,41.55352225983924,173.0,4.938784599304199,15.291692733764648,358.1573705679389,453.0,6.203434944152832,16.85281753540039
1400,427.3344132542513,830.0,4.220048904418945,14.478337287902832,298.5502629249557,679.0,5.20332145690918,16.116682052612305,18.779437429577687,109.0,2.7692182064056396,12.147298812866211,266.64078995835797,333.0,4.359788417816162,14.886634826660156
1600,326.28387891272655,707.0,2.6224148273468018,12.207608222961426,224.9219612633093,602.0,3.6262757778167725,13.83334732055664,10.083307782094039,50.0,0.9082570672035217,8.043569564819336,203.96643639847144,247.0,2.651738166809082,12.491228103637695
1800,210.59514297032936,540.0,1.5304275751113892,11.095787048339844,151.1836418254959,457.0,2.3331949710845947,12.688549041748047,9.039710151775221,30.0,0.09809902310371399,7.027477741241455,121.86158835798192,145.0,1.440230369567871,11.220279693603516
2000,153.35761159993632,399.0,0.8118481636047363,9.63770866394043,103.88235926769254,332.0,1.4036102294921875,10.812076568603516,7.158682946037808,6.0,0.0018212158465757966,5.666666507720947,65.85088681644272,80.0,0.7579014897346497,9.535947799682617
2200,98.05107477955487,247.0,0.4170933961868286,8.18294620513916,63.932811075577966,242.0,0.8024404048919678,9.30008316040039,2.11754263242298,1.0,0.0008271572296507657,4.0,31.80891456012794,40.0,0.38027194142341614,9.743243217468262
2400,56.30633600400314,159.0,0.19672511518001556,7.33538293838501,44.09132116133701,155.0,0.43315333127975464,7.976779460906982,0.0,0.0,0.0,,20.354497756813565,25.0,0.28093644976615906,7.865384578704834
2600,42.50765311835093,97.0,0.09297642856836319,6.358509540557861,28.657548989373144,91.0,0.2087262123823166,7.033243656158447,0.0,0.0,0.0,,7.53693041596068,7.0,0.082159623503685,6.363636493682861
2800,15.995471009388316,42.0,0.043788328766822815,6.293749809265137,13.083829753978645,59.0,0.11537838727235794,6.967715740203857,0.0,0.0,0.0,,3.77976314968462,3.0,0.03623516485095024,6.0
3000,15.820092992340566,22.0,0.011575371026992798,5.169642925262451,9.111140001476805,31.0,0.0337260365486145,5.9782609939575195,0.0,0.0,0.0,,2.0,1.0,0.012975217774510384,4.5
